mouse_ID;seq_sample;organ;tumor_line;bam_ID;SRA_sample_name;SRA_accession;SRA_run
212;CLL;SPL;212;CLL_212;;PRJNA475208;SRR7279977
212;GL;GL;212;GERM_212;;PRJNA475208;SRR7279986
221;CLL;SPL;221;CLL_221;;PRJNA475208;SRR7279976
221;GL;GL;221;GERM_221;;PRJNA475208;SRR7279989
347;CLL;SPL;347;CLL_347;;PRJNA475208;SRR7279975
347;GL;GL;347;GERM_347;;PRJNA475208;SRR7279988
702PC;CLL;PC;347;CLL702PC;CLL5;PRJNA789482;SRR17247436
702;CLL;SPL;347;CLL702;;PRJNA725403;SRR15882943
703;CLL;SPL;347;CLL703;;PRJNA725403;SRR15882942
642;CLL;SPL;C25;CLL642;;PRJNA725403;SRR14339610
C25;GL;GL;C25;GERM_C25;;PRJNA475208;SRR7279983
C25;CLL;SPL;C25;CLL_C25;;PRJNA475208;SRR7279974
C752;CLL;SPL;C25;CLLC752;CLL13;PRJNA789482;SRR17247441
C755;CLL;SPL;C25;CLLC755;CLL14;PRJNA789482;SRR17247440
C776;CLL;SPL;C25;CLLC776;CLL11;PRJNA789482;SRR17247443
C777;CLL;SPL;C25;CLLC777;CLL12;PRJNA789482;SRR17247442
Q67;CLL;LIV;C25;CLLQ67LIV;CLL6;PRJNA789482;SRR17247435
Q67;CLL;LNP;C25;CLLQ67LNP;CLL7;PRJNA789482;SRR17247434
Q67;CLL;SPL;C25;TX_Q67;;PRJNA475208;SRR7279978
D22;GL;GL;D22;GERM_D22;;PRJNA475208;SRR7279982
D22;CLL;SPL;D22;CLL_D22;;PRJNA475208;SRR7279973
P42;CLL;SPL;D22;CLLP42;;PRJNA725403;SRR15882947
P43;CLL;SPL;D22;CLLP43;;PRJNA725403;SRR15882946
Q76;CLL;SPL;D22;TX_Q76;;PRJNA475208;SRR7279979
R62;CLL;SPL;D22;TX_R62;;PRJNA475208;SRR7279970
E31;GL;GL;E31;GERM_E31;;PRJNA475208;SRR7279985
E31;CLL;SPL;E31;CLL_E31;;PRJNA475208;SRR7279972
1785/93;CLL;SPL;E31;CLL1785NSG;CLL8;PRJNA789482;SRR17247433
1786/93;CLL;SPL;E31;CLL1786NSG;CLL9;PRJNA789482;SRR17247432
CD92;CLL;PC;E31;CLLCD92PC;CLL10;PRJNA789482;SRR17247444
CD92;CLL;SPL;E31;CLLCD92;;PRJNA725403;SRR15882945
CD95;CLL;SPL;E31;CLLCD95;;PRJNA725403;SRR15882944
Q82;CLL;SPL;E31;TX_Q82;;PRJNA475208;SRR7279987
F3;GL;GL;F3;GERM_F3;;PRJNA475208;SRR7279984
F3;CLL;SPL;F3;CLL_F3;;PRJNA475208;SRR7279971
111;GL;GL;111;GL111TCL;;PRJNA725403;SRR14339613
111;CLL;SPL;111;CLL111TCL;;PRJNA725403;SRR14339612
72;CLL;SPL;111;CLL72TX;;PRJNA725403;SRR14339557
73;CLL;SPL;111;CLL73TX;;PRJNA725403;SRR14339552
121;CLL;SPL;82;CLL121TX;;PRJNA725403;SRR14339551
122;CLL;SPL;82;CLL122TX;;PRJNA725403;SRR14339550
82;GL;GL;82;GL82TCL;;PRJNA725403;SRR14339601
82;CLL;SPL;82;CLL82TCL;;PRJNA725403;SRR14339590
125;CLL;SPL;91;CLL125TX;;PRJNA725403;SRR14339611
91;GL;GL;91;GL91TCL;;PRJNA725403;SRR14339579
91;CLL;SPL;91;CLL91TCL;;PRJNA725403;SRR14339568
C38;GL;GL;C38;GLC38;GERM1;PRJNA789482;SRR17247445
C38;CLL;SPL;C38;CLLC38;CLL1;PRJNA789482;SRR17247446
659;CLL;SPL;C38;CLL659;CLL2;PRJNA789482;SRR17247439
659;CLL;LNP;C38;CLL659LNP;CLL3;PRJNA789482;SRR17247438
659;CLL;BL;C38;CLL659BL;CLL4;PRJNA789482;SRR17247437
